# ----------------------------------------
# 1 Master View
# Location
# 20171001-20171031
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
San Antonio,"Oct 1, 2017 - Oct 31, 2017",All Users,200,180,283,68.55%,2.85,00:01:11,2,$159.99,0.71%,7.77%
San Antonio,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,18,17,31,77.42%,1.74,00:01:26,0,$0.00,0.00%,0.00%
San Antonio,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,2,1,8,12.50%,14.62,00:05:27,2,$159.99,25.00%,125.00%
San Antonio,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,161,144,224,79.02%,1.89,00:00:52,1,$10.99,0.45%,1.79%
Boulder,"Oct 1, 2017 - Oct 31, 2017",All Users,189,135,276,16.67%,6.84,00:03:30,30,"$6,028.92",10.87%,61.96%
Boulder,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,34,29,44,29.55%,6.77,00:02:58,3,$579.96,6.82%,36.36%
Boulder,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,33,19,63,4.76%,12.30,00:06:29,30,"$6,028.92",47.62%,190.48%
Boulder,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,5,4,5,60.00%,2.00,00:03:17,0,$0.00,0.00%,0.00%
Ashburn,"Oct 1, 2017 - Oct 31, 2017",All Users,181,177,188,85.11%,1.89,00:00:33,1,$149.00,0.53%,5.85%
Ashburn,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,38,36,39,79.49%,1.85,00:00:29,1,$149.00,2.56%,10.26%
Ashburn,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,2,1,3,0.00%,5.67,00:02:12,1,$149.00,33.33%,66.67%
Ashburn,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,19,19,22,59.09%,3.36,00:01:16,0,$0.00,0.00%,13.64%
Miami,"Oct 1, 2017 - Oct 31, 2017",All Users,176,160,200,70.00%,2.08,00:00:41,1,$555.60,0.50%,3.50%
Miami,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,18,12,19,42.11%,3.68,00:02:46,1,$555.60,5.26%,21.05%
Miami,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,2,0,2,0.00%,16.00,00:12:15,1,$555.60,50.00%,200.00%
Miami,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,141,130,159,77.36%,1.61,00:00:26,0,$0.00,0.00%,0.63%
Pittsburgh,"Oct 1, 2017 - Oct 31, 2017",All Users,176,148,238,34.87%,5.70,00:03:07,16,"$2,204.20",6.72%,39.50%
Pittsburgh,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,27,25,43,55.81%,4.91,00:04:44,2,$357.00,4.65%,39.53%
Pittsburgh,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,16,13,38,10.53%,10.92,00:06:18,16,"$2,204.20",42.11%,147.37%
Pittsburgh,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,48,45,54,55.56%,3.89,00:02:00,1,$67.88,1.85%,16.67%
Nashville,"Oct 1, 2017 - Oct 31, 2017",All Users,168,143,234,54.70%,3.62,00:02:07,7,"$2,571.14",2.99%,20.94%
Nashville,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,26,24,38,36.84%,6.11,00:05:13,3,"$1,943.08",7.89%,52.63%
Nashville,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,7,1,17,11.76%,11.24,00:13:12,7,"$2,571.14",41.18%,158.82%
Nashville,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,100,91,129,70.54%,2.51,00:01:06,0,$0.00,0.00%,5.43%
Fremont,"Oct 1, 2017 - Oct 31, 2017",All Users,167,124,243,27.16%,7.42,00:04:29,22,"$4,802.50",9.05%,64.61%
Fremont,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,37,32,45,42.22%,6.51,00:02:11,1,$16.47,2.22%,31.11%
Fremont,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,19,6,49,12.24%,11.16,00:07:37,22,"$4,802.50",44.90%,155.10%
Fremont,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,38,33,45,44.44%,4.11,00:01:50,0,$0.00,0.00%,13.33%
Irvine,"Oct 1, 2017 - Oct 31, 2017",All Users,166,125,213,22.07%,7.54,00:03:39,18,"$3,306.62",8.45%,54.93%
Irvine,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,23,17,28,21.43%,11.11,00:07:40,5,$955.07,17.86%,85.71%
Irvine,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,17,4,35,5.71%,16.66,00:09:38,18,"$3,306.62",51.43%,194.29%
Irvine,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,51,44,55,45.45%,3.42,00:01:03,0,$0.00,0.00%,7.27%
Detroit,"Oct 1, 2017 - Oct 31, 2017",All Users,166,148,207,71.50%,2.21,00:01:03,1,$30.38,0.48%,3.86%
